file_name, question, answers
185.png,what is the net worth?,the net worth is $531.35
186.png,what is the vat due?,the vat due is $150.69 
187.png,what is the vat due?,the vat due is $93.24
188.png,what is the vat due?,the vat due is $15.39
189.png,what is the vat due?,the vat due is $48.00
190.png,what is the net worth?,the net worth is $40677.81
191.png,what is the net worth?,the net worth is $9379.05
192.png,what is the gross worth?,the gross worth is $331.99
193.png,what is the gross worth?,the gross worth is $76.89
194.png,what is the gross worth?,the gross worth is $172.71
195.png,what is the vat due?,the vat due is $10.64
196.png,what is the gross worth?,the gross worth is $3046.86
197.png,what is the gross worth?,the gross worth is $4334.11
198.png,what is the vat due?,the vat due is $8445.70
199.png,what is the net worth?,the net worth is $11017.83
200.png,what is the net worth?,the net worth is $11479.77
201.png,what is the net worth?,the net worth is $409.58
202.png,what is the vat due?,the vat due is $61.44
203.png,what is the vat due?,the vat due is $536.31
204.png,what is the gross worth?,the gross worth is $23454.63
205.png,what is the gross worth?,the gross worth is $14.00
206.png,what is the vat due?,the vat due is $14.00
207.png,what is the vat due?,the vat due is $10.70
208.png,what is the gross worth?,the gross worth is $295.55
209.png,what is the net worth?,the net worth is $3867.63
210.png,what is the net worth?,the net worth is $515.25 
211.png,what is the net worth?,the net worth is $2854.50
212.png,what is the vat due?,the vat due is $416.69
213.png,what is the net worth?,the net worth is $48682.50
214.png,what is the gross worth?,the gross worth is $19.77
215.png,what is the net worth?,the net worth is $1831.85
216.png,what is the vat due?,the vat due is $4
217.png,what is the net worth?,the net worth is $24173.78 
218.png,what is the vat due?,the vat due is $39.49
219.png,what is the net worth?,the net worth is $2413.97
220.png,what is the vat due?,the vat due is $330.99
221.png,what is the gross worth?,the gross worth is $1627.96 
222.png,what is the vat due?,the vat due is $4023.86
223.png,what is the net worth?,the net worth is $259.95
224.png,what is the gross worth?,the gross worth is $82.49
225.png,what is the gross worth?,the gross worth is $705.92
226.png,what is the vat due?,the vat due is $17.10
227.png,what is the net worth?,the net worth is $37551.65
228.png,what is the net worth?,the net worth is $25014.50
229.png,what is the vat due?,the vat due is $5.59
230.png,what is the net worth?,the net worth is $475.10
231.png,what is the net worth?,the net worth is $53.64
232.png,what is the net worth?,the net worth is $89.62
233.png,what is the vat due?,the vat due is $112.52
234.png,what is the gross worth?,the gross worth is $1821.48 
235.png,what is the net worth?,the net worth is $176.87
236.png,what is the net worth?,the net worth is $651.30
237.png,what is the vat due?,the vat due is $32.95
238.png,what is the gross worth?,the gross worth is $2623.28 
239.png,what is the gross worth?,the gross worth is $2858.84
240.png,what is the gross worth?,the gross worth is $7589.84
241.png,what is the gross worth?,the gross worth is $61568.50
242.png,what is the vat due?,the vat due is $63.17
243.png,what is the gross worth?,the gross worth is $455.68 
244.png,what is the net worth?,the net worth is $717.45
245.png,what is the gross worth?,the gross worth is $34501.86
246.png,what is the vat due?,the vat due is $12.11
247.png,what is the vat due?,the vat due is $10.79
248.png,what is the vat due?,the vat due is $13.47
249.png,what is the vat due?,the vat due is $15.80
250.png,what is the net worth?,the net worth is $959.99
251.png,what is the gross worth?,the gross worth is $126.23
252.png,what is the gross worth?,the gross worth is $192.50
253.png,what is the gross worth?,the gross worth is $53572.82
254.png,what is the vat due?,the vat due is $268.49
255.png,what is the vat due?,the vat due is $768.08
256.png,what is the gross worth?,the gross worth is $5873.90 
257.png,what is the gross worth?,the gross worth is $330
258.png,what is the net worth?,the net worth is $855
259.png,what is the vat due?,the vat due is $49.65
260.png,what is the net worth?,the net worth is $91.88
261.png,what is the vat due?,the vat due is $16.28
262.png,what is the vat due?,the vat due is $675.00
263.png,what is the vat due?,the vat due is $757.50
264.png,what is the gross worth?,the gross worth is $270.64 
265.png,what is the net worth?,the net worth is $36305.25
266.png,what is the net worth?,the net worth is $520
267.png,what is the net worth?,the net worth is $1023.75
268.png,what is the vat due?,the vat due is $69.13
269.png,what is the vat due?,the vat due is $564.99
270.png,what is the vat due?,the vat due is $15.40
271.png,what is the vat due?,the vat due is $69.86
272.png,what is the net worth?,the net worth is $8.98
273.png,what is the vat due?,the vat due is $74.23
274.png,what is the gross worth?,the gross worth is $547.76 
275.png,what is the vat due?,the vat due is $42.07
276.png,what is the net worth?,the net worth is $56.78
277.png,what is the net worth?,the net worth is $43.06
278.png,what is the gross worth?,the gross worth is $8134.09
279.png,what is the vat due?,the vat due is $50.90
280.png,what is the net worth?,the net worth is $1021.82
281.png,what is the gross worth?,the gross worth is $94435.43
282.png,what is the vat due?,the vat due is $793.38
283.png,what is the gross worth?,the gross worth is $4651.38 
284.png,what is the net worth?,the net worth is $1330.70
285.png,what is the vat due?,the vat due is $720.00
286.png,what is the vat due?,the vat due is $118.94
287.png,what is the vat due?,the vat due is $3956.67
288.png,what is the gross worth?,the gross worth is $21089.90
289.png,what is the net worth?,the net worth is $4778.22
290.png,what is the net worth?,the net worth is $489.70
291.png,what is the vat due?,the vat due is $3.41
292.png,what is the net worth?,the net worth is $159.95
293.png,what is the vat due?,the vat due is $27.41
294.png,what is the gross worth?,the gross worth is $3002.98 
295.png,what is the vat due?,the vat due is $70.65
296.png,what is the net worth?,the net worth is $26857.35
297.png,what is the net worth?,the net worth is $299.92
298.png,what is the gross worth?,the gross worth is $555.37
299.png,what is the net worth?,the net worth is $1209.97
300.png,what is the net worth?,the net worth is $389.85
301.png,what is the vat due?,the vat due is $12.91
302.png,what is the gross worth?,the gross worth is $166.91 
303.png,what is the vat due?,the vat due is $3900.00
304.png,what is the gross worth?,the gross worth is $8389.96
305.png,what is the vat due?,the vat due is $250.49
306.png,what is the gross worth?,the gross worth is $26.38 
307.png,what is the gross worth?,the gross worth is $43.98
308.png,what is the gross worth?,the gross worth is $130.84
309.png,what is the vat due?,the vat due is $5318.82
310.png,what is the vat due?,the vat due is $58.80
311.png,what is the gross worth?,the gross worth is $13615.09 
312.png,what is the gross worth?,the gross worth is $4729.96
313.png,what is the vat due?,the vat due is $13555.04
314.png,what is the net worth?,the net worth is $5294.47
315.png,what is the gross worth?,the gross worth is $835.99
316.png,what is the vat due?,the vat due is $24.63
317.png,what is the gross worth?,the gross worth is $1319.96 
318.png,what is the vat due?,the vat due is $33.20
319.png,what is the gross worth?,the gross worth is $797.23 
320.png,what is the vat due?,the vat due is 483.83
321.png,what is the vat due?,the vat due is $254.97
322.png,what is the net worth?,the net worth is $2545.48
323.png,what is the gross worth?,the gross worth is $39000
324.png,what is the gross worth?,the gross worth is $83.89
325.png,what is the gross worth?,the gross worth is $661.64
326.png,what is the net worth?,the net worth is $1024.40
327.png,what is the net worth?,the net worth is $93.00
328.png,what is the vat due?,the vat due is $630.54
329.png,what is the gross worth?,the gross worth is $428.35 
330.png,what is the vat due?,the vat due is $3223.03
331.png,what is the vat due?,the vat due is $26.88
332.png,what is the vat due?,the vat due is $645.12
333.png,what is the vat due?,the vat due is $3462.43
334.png,what is the vat due?,the vat due is $74.46
335.png,what is the vat due?,the vat due is $66.58
336.png,what is the net worth?,the net worth is $11794.44
337.png,what is the net worth?,the net worth is $5975.75
338.png,what is the net worth?,the net worth is $4963.41
339.png,what is the net worth?,the net worth is $1335.86
340.png,what is the vat due?,the vat due is $40.19
341.png,what is the net worth?,the net worth is $46937.53
342.png,what is the net worth?,the net worth is $171.01
343.png,what is the vat due?,the vat due is $450.74
344.png,what is the vat due?,the vat due is $1661.93
345.png,what is the gross worth?,the gross worth is $9256.59
346.png,what is the net worth?,the net worth is $2667.91
347.png,what is the net worth?,the net worth is $19228.78
348.png,what is the net worth?,the net worth is $339.98
349.png,what is the net worth?,the net worth is $12203.09
350.png,what is the gross worth?,the gross worth is $194521.70
351.png,what is the gross worth?,the gross worth is $2804.92
352.png,what is the vat due?,the vat due is $48.16
353.png,what is the net worth?,the net worth is $23399.04
354.png,what is the net worth?,the net worth is $221.55
355.png,what is the vat due?,the vat due is $364.30
356.png,what is the net worth?,the net worth is $449.90
357.png,what is the net worth?,the net worth is $1140.91
358.png,what is the vat due?,the vat due is $522.15
359.png,what is the gross worth?,the gross worth is $721.73 
360.png,what is the net worth?,the net worth is $140.00
361.png,what is the net worth?,the net worth is $138.97
362.png,what is the vat due?,the vat due is $1.96
363.png,what is the vat due?,the vat due is $113.70
364.png,what is the net worth?,the net worth is $295.00
365.png,what is the vat due?,the vat due is $377.38
366.png,what is the vat due?,the vat due is $0.16
367.png,what is the vat due?,the vat due is $108.23
368.png,what is the net worth?,the net worth is $140.64
369.png,what is the gross worth?,the gross worth is $6.58
370.png,what is the vat due?,the vat due is $45.48
371.png,what is the net worth?,the net worth is $140.09
372.png,what is the vat due?,the vat due is $321.98
373.png,what is the net worth?,the net worth is $29.85
374.png,what is the vat due?,the vat due is $203.20
375.png,what is the vat due?,the vat due is $35.84
376.png,what is the vat due?,the vat due is $3.00
377.png,what is the net worth?,the net worth is $4112.98
378.png,what is the vat due?,the vat due is $425.00
379.png,what is the net worth?,the net worth is $5149.91
380.png,what is the gross worth?,the gross worth is $33847.07
381.png,what is the gross worth?,the gross worth is $4225.81
382.png,what is the gross worth?,the gross worth is $1535.07
383.png,what is the gross worth?,the gross worth is $406.23
384.png,what is the gross worth?,the gross worth is $1151.79
385.png,what is the vat due?,the vat due is $19.17
386.png,what is the net worth?,the net worth is $147.99
387.png,what is the gross worth?,the gross worth is $427.15 
388.png,what is the gross worth?,the gross worth is $280.32
389.png,what is the gross worth?,the gross worth is $853.56
390.png,what is the vat due?,the vat due is $8.00
391.png,what is the vat due?,the vat due is $5.85
392.png,what is the net worth?,the net worth is $3429.56
393.png,what is the net worth?,the net worth is $764.95
394.png,what is the gross worth?,the gross worth is $176
395.png,what is the gross worth?,the gross worth is $391.12
396.png,what is the gross worth?,the gross worth is $501.40
397.png,what is the vat due?,the vat due is $381
398.png,what is the gross worth?,the gross worth is $197.44 
399.png,what is the vat due?,the vat due is $37.78
400.png,what is the gross worth?,the gross worth is $204.90 
401.png,what is the gross worth?,the gross worth is $142.99
402.png,what is the vat due?,the vat due is $43.80
403.png,what is the gross worth?,the gross worth is $8700.64 
404.png,what is the net worth?,the net worth is $23042.20
405.png,what is the gross worth?,the gross worth is $3.29
406.png,what is the gross worth?,the gross worth is $496.43
407.png,what is the vat due?,the vat due is $1651.28
408.png,what is the gross worth?,the gross worth is $296.48
409.png,what is the net worth?,the net worth is $145.53
410.png,what is the vat due?,the vat due is $6.00
411.png,what is the net worth?,the net worth is $101.93
412.png,what is the vat due?,the vat due is $337.01
413.png,what is the net worth?,the net worth is $11284.07
414.png,what is the vat due?,the vat due is $29.15
415.png,what is the gross worth?,the gross worth is $5605.15 
416.png,what is the net worth?,the net worth is $227.24
417.png,what is the net worth?,the net worth is $165.66
418.png,what is the net worth?,the net worth is $1432.89
419.png,what is the gross worth?,the gross worth is $7397.59
420.png,what is the net worth?,the net worth is $312.85
421.png,what is the gross worth?,the gross worth is $148.50
422.png,what is the vat due?,the vat due is $51.60
